   % sqrt(\psi_p)              q
   0.000005263629090   1.800410380000000
   0.005263629090000   1.801251500000000
   0.010524698900000   1.802540890000000
   0.015783356100000   1.803865740000000
   0.021039488400000   1.805208530000000
   0.026292919900000   1.806522970000000
   0.031544111900000   1.807790400000000
   0.036793197500000   1.809014990000000
   0.042040162100000   1.810207550000000
   0.047284997600000   1.811384590000000
   0.052527935100000   1.812572980000000
   0.057768890700000   1.813838470000000
   0.063007416500000   1.815239110000000
   0.068243151200000   1.816781370000000
   0.073475996200000   1.818477010000000
   0.078705643200000   1.820326690000000
   0.083931468600000   1.822293310000000
   0.089153445800000   1.824311680000000
   0.094371872800000   1.826320200000000
   0.099586901800000   1.828286270000000
   0.104798406000000   1.830193960000000
   0.110006781000000   1.832047170000000
   0.115212346000000   1.833884120000000
   0.120415133000000   1.835743890000000
   0.125614742000000   1.837682980000000
   0.130811052000000   1.839750190000000
   0.136003936000000   1.841960590000000
   0.141193108000000   1.844302780000000
   0.146377931000000   1.846748440000000
   0.151558370000000   1.849265810000000
   0.156734635000000   1.851821410000000
   0.161906749000000   1.854383570000000
   0.167074475000000   1.856934360000000
   0.172237920000000   1.859472610000000
   0.177397505000000   1.862004240000000
   0.182553298000000   1.864532490000000
   0.187705183000000   1.867053480000000
   0.192853038000000   1.869551580000000
   0.197997406000000   1.872008490000000
   0.203138450000000   1.874411630000000
   0.208276314000000   1.876758030000000
   0.213410771000000   1.879056350000000
   0.218542397000000   1.881330190000000
   0.223671242000000   1.883606660000000
   0.228797291000000   1.885915710000000
   0.233920100000000   1.888282180000000
   0.239039765000000   1.890711470000000
   0.244156286000000   1.893189940000000
   0.249269605000000   1.895690080000000
   0.254379526000000   1.898186470000000
   0.259486028000000   1.900661580000000
   0.264589493000000   1.903109260000000
   0.269690000000000   1.905539670000000
   0.274787583000000   1.907972790000000
   0.279881771000000   1.910431110000000
   0.284972916000000   1.912939680000000
   0.290060894000000   1.915506530000000
   0.295145578000000   1.918122110000000
   0.300226598000000   1.920764810000000
   0.305303933000000   1.923405400000000
   0.310377864000000   1.926021920000000
   0.315448441000000   1.928603460000000
   0.320515706000000   1.931160570000000
   0.325579140000000   1.933716340000000
   0.330639121000000   1.936298030000000
   0.335695473000000   1.938933920000000
   0.340747930000000   1.941644150000000
   0.345795907000000   1.944424550000000
   0.350838884000000   1.947257120000000
   0.355876932000000   1.950109860000000
   0.360909754000000   1.952943680000000
   0.365937028000000   1.955739860000000
   0.370957580000000   1.958500060000000
   0.375971123000000   1.961243130000000
   0.380976881000000   1.963998640000000
   0.385973435000000   1.966795030000000
   0.390958592000000   1.969646460000000
   0.395927181000000   1.972556570000000
   0.400876105000000   1.975519340000000
   0.405798165000000   1.978521800000000
   0.410681755000000   1.981553720000000
   0.415499338000000   1.984604750000000
   0.420200846000000   1.987659400000000
   0.424699856000000   1.990687420000000
   0.428811843000000   1.993583980000000
   0.432017737000000   1.995948080000000
   0.434080300000000   1.997522600000000
   0.435200902000000   1.998396480000000
   0.435779877000000   1.998853170000000
   0.436128781000000   1.999130110000000
   0.436360449000000   1.999314730000000
   0.436526951000000   1.999447770000000
   0.436651855000000   1.999547770000000
   0.436753129000000   1.999628980000000
   0.436835421000000   1.999695050000000
   0.436906418000000   1.999752110000000
   0.436969070000000   1.999802510000000
   0.437024539000000   1.999847160000000
   0.437076374000000   1.999888920000000
   0.437125763000000   1.999928740000000
   0.437172560000000   1.999966490000000
   0.437218817000000   2.000003830000000
   0.437264710000000   2.000040900000000
   0.437311898000000   2.000079040000000
   0.437360644000000   2.000118460000000
   0.437411322000000   2.000159480000000
   0.437467674000000   2.000205120000000
   0.437532463000000   2.000257630000000
   0.437600892000000   2.000313150000000
   0.437685440000000   2.000381810000000
   0.437778136000000   2.000457180000000
   0.437904836000000   2.000560350000000
   0.438065251000000   2.000691240000000
   0.438288716000000   2.000874030000000
   0.438623251000000   2.001148720000000
   0.439169740000000   2.001600130000000
   0.440206302000000   2.002465600000000
   0.442105463000000   2.004083190000000
   0.445253379000000   2.006856710000000
   0.449244057000000   2.010538670000000
   0.453667959000000   2.014832440000000
   0.458320999000000   2.019581520000000
   0.463080015000000   2.024675940000000
   0.467892091000000   2.030060660000000
   0.472734230000000   2.035711470000000
   0.477593066000000   2.041617430000000
   0.482460668000000   2.047776460000000
   0.487330568000000   2.054192180000000
   0.492199202000000   2.060868910000000
   0.497064083000000   2.067808750000000
   0.501923308000000   2.075011780000000
   0.506774995000000   2.082477130000000
   0.511617446000000   2.090202480000000
   0.516450321000000   2.098187140000000
   0.521272786000000   2.106431390000000
   0.526084106000000   2.114937450000000
   0.530883621000000   2.123707320000000
   0.535670345000000   2.132741990000000
   0.540442912000000   2.142042090000000
   0.545201919000000   2.151612240000000
   0.549946890000000   2.161454100000000
   0.554677370000000   2.171568860000000
   0.559392931000000   2.181957980000000
   0.564093161000000   2.192623670000000
   0.568777451000000   2.203567100000000
   0.573444201000000   2.214786950000000
   0.578094448000000   2.226288260000000
   0.582727841000000   2.238073390000000
   0.587344042000000   2.250144310000000
   0.591942721000000   2.262502890000000
   0.596523556000000   2.275150900000000
   0.601086237000000   2.288090450000000
   0.605630461000000   2.301323540000000
   0.610155932000000   2.314852070000000
   0.614661256000000   2.328674370000000
   0.619146983000000   2.342794740000000
   0.623613141000000   2.357216200000000
   0.628059466000000   2.371940680000000
   0.632485701000000   2.386969930000000
   0.636891594000000   2.402305670000000
   0.641276899000000   2.417950040000000
   0.645641369000000   2.433904890000000
   0.649984764000000   2.450171830000000
