   %sqrt(\psi_p)              q 
   0.000005230683370   1.800413200000000
   0.005230683370000   1.801254300000000
   0.010458815500000   1.802537230000000
   0.015684557500000   1.803848770000000
   0.020907853300000   1.805176250000000
   0.026128436400000   1.806473520000000
   0.031346816300000   1.807715070000000
   0.036563134100000   1.808912810000000
   0.041777447000000   1.810078830000000
   0.046989596600000   1.811226640000000
   0.052199884600000   1.812382700000000
   0.057408224200000   1.813614830000000
   0.062614327900000   1.814974870000000
   0.067817566500000   1.816469500000000
   0.073017992000000   1.818102280000000
   0.078215323000000   1.819880120000000
   0.083409250900000   1.821768230000000
   0.088599175600000   1.823722790000000
   0.093785601900000   1.825684780000000
   0.098968658500000   1.827608990000000
   0.104148528000000   1.829470440000000
   0.109324997000000   1.831273780000000
   0.114498705000000   1.833048240000000
   0.119669709000000   1.834830190000000
   0.124837977000000   1.836666800000000
   0.130002870000000   1.838622220000000
   0.135164438000000   1.840722270000000
   0.140322423000000   1.842963340000000
   0.145476569000000   1.845316150000000
   0.150626241000000   1.847740130000000
   0.155771648000000   1.850200440000000
   0.160913004000000   1.852664530000000
   0.166050392000000   1.855114280000000
   0.171183637000000   1.857549670000000
   0.176312795000000   1.859974270000000
   0.181438271000000   1.862391770000000
   0.186560134000000   1.864797840000000
   0.191678395000000   1.867186330000000
   0.196792772000000   1.869540950000000
   0.201903898000000   1.871843330000000
   0.207011946000000   1.874086390000000
   0.212117087000000   1.876274350000000
   0.217219162000000   1.878426330000000
   0.222318454000000   1.880570700000000
   0.227415077000000   1.882733200000000
   0.232508975000000   1.884939840000000
   0.237599911000000   1.887207120000000
   0.242687542000000   1.889529170000000
   0.247772102000000   1.891888360000000
   0.252853564000000   1.894253420000000
   0.257931973000000   1.896595360000000
   0.263007089000000   1.898900960000000
   0.268079267000000   1.901176160000000
   0.273148670000000   1.903441720000000
   0.278215299000000   1.905723220000000
   0.283279007000000   1.908046060000000
   0.288339388000000   1.910426670000000
   0.293396653000000   1.912863520000000
   0.298450687000000   1.915339980000000
   0.303501426000000   1.917826530000000
   0.308548608000000   1.920284550000000
   0.313592378000000   1.922699140000000
   0.318633027000000   1.925073920000000
   0.323670586000000   1.927431830000000
   0.328705001000000   1.929812790000000
   0.333735667000000   1.932250230000000
   0.338762679000000   1.934758080000000
   0.343785837000000   1.937337450000000
   0.348804865000000   1.939970410000000
   0.353819450000000   1.942620370000000
   0.358828831000000   1.945261100000000
   0.363833380000000   1.947873110000000
   0.368832848000000   1.950451520000000
   0.373826888000000   1.953009300000000
   0.378814694000000   1.955571810000000
   0.383794996000000   1.958163350000000
   0.388767331000000   1.960801280000000
   0.393730260000000   1.963494150000000
   0.398681860000000   1.966241960000000
   0.403618289000000   1.969037510000000
   0.408534708000000   1.971873550000000
   0.413426074000000   1.974751000000000
   0.418282822000000   1.977691350000000
   0.423089462000000   1.980713560000000
   0.427805791000000   1.983815190000000
   0.432373104000000   1.986978060000000
   0.436681562000000   1.990142260000000
   0.440526637000000   1.993139990000000
   0.443404169000000   1.995495530000000
   0.445291156000000   1.997092750000000
   0.446322220000000   1.997983040000000
   0.446907918000000   1.998494280000000
   0.447284987000000   1.998825510000000
   0.447556347000000   1.999064910000000
   0.447737635000000   1.999225320000000
   0.447875882000000   1.999347900000000
   0.447985698000000   1.999445420000000
   0.448075484000000   1.999525270000000
   0.448151640000000   1.999593060000000
   0.448216716000000   1.999651050000000
   0.448274436000000   1.999702520000000
   0.448326288000000   1.999748790000000
   0.448373589000000   1.999791030000000
   0.448417458000000   1.999830220000000
   0.448458797000000   1.999867170000000
   0.448498289000000   1.999902500000000
   0.448536352000000   1.999936560000000
   0.448573436000000   1.999969760000000
   0.448610292000000   2.000002770000000
   0.448647191000000   2.000035840000000
   0.448684478000000   2.000069270000000
   0.448723027000000   2.000103850000000
   0.448763079000000   2.000139790000000
   0.448805185000000   2.000177600000000
   0.448850101000000   2.000217950000000
   0.448898807000000   2.000261740000000
   0.448952491000000   2.000310030000000
   0.449012531000000   2.000364080000000
   0.449080640000000   2.000425440000000
   0.449161180000000   2.000498070000000
   0.449257042000000   2.000584610000000
   0.449374700000000   2.000690970000000
   0.449525736000000   2.000827740000000
   0.449727112000000   2.001010510000000
   0.450013441000000   2.001271160000000
   0.450471490000000   2.001690070000000
   0.451156686000000   2.002321160000000
   0.452426152000000   2.003504310000000
   0.454585722000000   2.005558000000000
   0.457866829000000   2.008773110000000
   0.461838930000000   2.012810900000000
   0.466200827000000   2.017422950000000
   0.470779561000000   2.022462390000000
   0.475469270000000   2.027835820000000
   0.480215134000000   2.033497910000000
   0.484993801000000   2.039435650000000
   0.489791256000000   2.045642570000000
   0.494598787000000   2.052116320000000
   0.499410049000000   2.058853530000000
   0.504220592000000   2.065850370000000
   0.509027689000000   2.073104550000000
   0.513829258000000   2.080614890000000
   0.518623665000000   2.088380440000000
   0.523409128000000   2.096400150000000
   0.528184189000000   2.104674730000000
   0.532948589000000   2.113207280000000
   0.537701544000000   2.121999430000000
   0.542442360000000   2.131052690000000
   0.547170409000000   2.140368860000000
   0.551885118000000   2.149949730000000
   0.556585088000000   2.159794840000000
   0.561270004000000   2.169905450000000
   0.565940045000000   2.180284250000000
   0.570594781000000   2.190933090000000
   0.575233806000000   2.201853890000000
   0.579856731000000   2.213048210000000
   0.584463183000000   2.224517570000000
   0.589052805000000   2.236263810000000
   0.593625178000000   2.248288940000000
   0.598178657000000   2.260590930000000
   0.602714303000000   2.273174560000000
   0.607231813000000   2.286041450000000
   0.611730887000000   2.299193970000000
