   0.0000000000000000        1.5366882577580790E-003	  0.0000000000000000      -7.73833850717126764E-006
   1.0000000000000000E-002   1.5326859313615981E-003	  8.41360474660796977E-003 -7.61118698359812551E-006
   2.0000000000000000E-002   1.5279033968373127E-003	  1.66472722251032983E-002 -7.28324365167291182E-006
   2.9999999999999999E-002   1.5221110783417153E-003	  2.48454472495869237E-002 -6.67946867832867192E-006
   4.0000000000000001E-002   1.5150842090390954E-003	  3.31320214489805726E-002 -6.00156560102635406E-006
   5.0000000000000003E-002   1.5066044689113144E-003	  4.14553515926728497E-002 -5.50606273083675823E-006
   5.9999999999999998E-002   1.4964642907930343E-003	  4.97843869840138287E-002 -5.23521050577093611E-006
   7.0000000000000007E-002   1.4846280619984467E-003	  5.80966839637454963E-002 -5.08962710166899202E-006
   8.0000000000000002E-002   1.4713165620115214E-003	  6.64065330042271501E-002 -4.93517816039200363E-006
   8.9999999999999997E-002   1.4567716539827266E-003	  7.47786804054870191E-002 -4.60460114399489223E-006
  0.10000000000000001        1.4411833205211541E-003	  8.31726325423791935E-002 -4.08916293296365113E-006
  0.11000000000000000        1.4245650490599447E-003	  9.15740681364753534E-002 -3.50727348553698387E-006
  0.12000000000000000        1.4068952228436682E-003	  9.99584806537523740E-002 -2.88564540521559637E-006
  0.13000000000000000        1.3882043973802093E-003	  0.10837644743112490      -2.36865377822772366E-006
  0.14000000000000001        1.3685716026936964E-003	  0.11683598153900727      -2.04514541715487830E-006
  0.14999999999999999        1.3480698142058229E-003	  0.12531262527262155      -1.90932406208058070E-006
  0.16000000000000000        1.3267582288946042E-003	  0.13378821239156646      -1.88844103652698048E-006
  0.17000000000000001        1.3046977251552402E-003	  0.14226434835325946      -1.68910836662386488E-006
  0.17999999999999999        1.2819511199555461E-003	  0.15079066820520753      -1.32334077713840148E-006
  0.19000000000000000        1.2585768870675708E-003	  0.15934092445246265      -8.49763399982800260E-007
  0.20000000000000001        1.2346325473108057E-003	  0.16790391480339084      -4.41415636526394650E-007
  0.20999999999999999        1.2101794669832295E-003	  0.17646318494660299      -2.26395738760210019E-007
  0.22000000000000000        1.1852819809533843E-003	  0.18505394378312881      -9.52456690747963131E-008
  0.23000000000000001        1.1600048067085475E-003	  0.19368087652750576      -9.52314494796768773E-009
  0.23999999999999999        1.1344123035242038E-003	  0.20232845332025898       1.47596319080740834E-007
  0.25000000000000000        1.1085627359028166E-003	  0.21098175349645865       2.69819231920806479E-007
  0.26000000000000001        1.0825141867115138E-003	  0.21964558337577558       3.45700151533224337E-007
  0.27000000000000002        1.0563246842318567E-003	  0.22835362403305617       4.20272650477823695E-007
  0.28000000000000003        1.0300513022208160E-003	  0.23708801800625073       4.94187054046486135E-007
  0.28999999999999998        1.0037490931906910E-003	  0.24583525753476299       5.95374262965173151E-007
  0.29999999999999999        9.7746899317178938E-004	  0.25458809851174991       6.60564323204902715E-007
  0.31000000000000000        9.5125956831927671E-004	  0.26338302701019067       6.45471113802989493E-007
  0.32000000000000001        9.2516819976809809E-004	  0.27220671833887422       5.56024725489965427E-007
  0.33000000000000002        8.9924063335161870E-004	  0.28105117950213859       4.23760135493007895E-007
  0.34000000000000002        8.7351840708178201E-004	  0.28990771993256276       2.92454320276972629E-007
  0.35000000000000003        8.4804195977843599E-004	  0.29879162582450619       2.03100761189591722E-007
  0.35999999999999999        8.2284701741268244E-004	  0.30771234010153381       1.49587349618229837E-007
